DATE,RGDPNACAA666NRUG,year,value_2017USD
01/01/1950,198130.6719,1950,204074.592
01/01/1951,206789.9531,1951,212993.6517
01/01/1952,224110.8281,1952,230834.153
01/01/1953,235150.1094,1953,242204.6127
01/01/1954,232511.4063,1954,239486.7484
01/01/1955,253992.6094,1955,261612.3877
01/01/1956,277510.4375,1956,285835.7506
01/01/1957,284565.7813,1957,293102.7547
01/01/1958,289269.375,1958,297947.4563
01/01/1959,301028.3125,1959,310059.1619
01/01/1960,310435.4375,1960,319748.5006
01/01/1961,319221.3438,1961,328797.9841
01/01/1962,341186.0938,1962,351421.6766
01/01/1963,358757.9063,1963,369520.6434
01/01/1964,382187,1964,393652.61
01/01/1965,407080.4063,1965,419292.8184
01/01/1966,434902.4375,1966,447949.5106
01/01/1967,446616.9688,1967,460015.4778
01/01/1968,470046.0625,1968,484147.4444
01/01/1969,494939.4688,1969,509787.6528
01/01/1970,508118.3438,1970,523361.8941
01/01/1971,528291.9375,1971,544140.6956
01/01/1972,557399.125,1972,574121.0988
01/01/1973,595501.5,1973,613366.545
01/01/1974,615035.875,1974,633486.9513
01/01/1975,624023,1975,642743.69
01/01/1976,660707,1976,680528.21
01/01/1977,683423.125,1977,703925.8188
01/01/1978,708597.125,1978,729855.0388
01/01/1979,734894.3125,1979,756941.1419
01/01/1980,750735.25,1980,773257.3075
01/01/1981,776816.75,1981,800121.2525
01/01/1982,752057.5625,1982,774619.2894
01/01/1983,771621.125,1983,794769.7588
01/01/1984,817212,1984,841728.36
01/01/1985,855926.5625,1985,881604.3594
01/01/1986,874286,1986,900514.58
01/01/1987,909895.3125,1987,937192.1719
01/01/1988,950022.6875,1988,978523.3681
01/01/1989,972034.5,1989,1001195.535
01/01/1990,973635.25,1990,1002844.308
01/01/1991,953324.3125,1991,981924.0419
01/01/1992,961906.75,1992,990763.9525
01/01/1993,987501.6875,1993,1017126.738
01/01/1994,1031884.625,1994,1062841.164
01/01/1995,1059683.25,1995,1091473.748
01/01/1996,1076841.5,1996,1109146.745
01/01/1997,1122930.625,1997,1156618.544
01/01/1998,1166681.75,1998,1201682.203
01/01/1999,1226916.5,1999,1263723.995
01/01/2000,1290441.875,2000,1329155.131
01/01/2001,1313540.375,2001,1352946.586
01/01/2002,1353183.625,2002,1393779.134
01/01/2003,1377561.5,2003,1418888.345
01/01/2004,1420086.625,2004,1462689.224
01/01/2005,1465589,2005,1509556.67
01/01/2006,1504197.125,2006,1549323.039
01/01/2007,1535361.5,2007,1581422.345
01/01/2008,1550780.875,2008,1597304.301
01/01/2009,1505405.625,2009,1550567.794
01/01/2010,1551921.625,2010,1598479.274
01/01/2011,1600746.625,2011,1648769.024
01/01/2012,1628935.125,2012,1677803.179
01/01/2013,1666875,2013,1716881.25
01/01/2014,1714715,2014,1766156.45
01/01/2015,1726018,2015,1777798.54
01/01/2016,1743302.125,2016,1795601.189
01/01/2017,1796296.5,2017,1850185.395
01/01/2018,1839938.375,2018,1895136.526
01/01/2019,1874187.25,2019,1930412.868
