GCAM_region_ID,field.eff,conveyance.eff
1,0.645977868956708,0.8299374557472181
2,0.5264046624908871,0.7000000000000001
3,0.5683773112549436,0.7187603213130139
4,0.6822279471264149,0.8366372908316076
5,0.5995570493783393,0.7144496555267444
6,0.548492509033505,0.7000000000000001
7,0.646,0.8300000000000001
8,0.646,0.8300000000000002
9,0.622767643698583,0.7643433408872996
10,0.49917678805008203,0.7254685665984918
11,0.54,0.7
12,0.7057539171198359,0.8801098854547118
13,0.6540668824326368,0.851257427248932
14,0.75,0.9500000000000002
15,0.5479017282322949,0.7085091744941598
16,0.6533080812592031,0.788846802098672
17,0.603,0.8500000000000001
18,0.54,0.7
19,0.54,0.7
20,0.42,0.7
21,0.5511171024233014,0.7272158632475525
22,0.42,0.7
23,0.75,0.9500000000000001
24,0.6799999999999999,0.8300000000000001
25,0.4878849233416057,0.7
26,0.5426835982468614,0.7
27,0.5504547084760502,0.7126185710711835
28,0.6,0.7
29,0.4739398856670233,0.7000026148401888
30,0.54,0.7
31,0.54,0.7
32,0.54,0.7
