"","Units","region","scenario","year","noR_share"
"1","Pcal","Africa_Eastern","St7_Reference_R-M-F",2015,22.3492184692538
"2","Pcal","Africa_Northern","St7_Reference_R-M-F",2015,36.457634140815
"3","Pcal","Africa_Southern","St7_Reference_R-M-F",2015,53.2411952750653
"4","Pcal","Africa_Western","St7_Reference_R-M-F",2015,54.2010011263139
"5","Pcal","Argentina","St7_Reference_R-M-F",2015,38.2397414888086
"6","Pcal","Australia_NZ","St7_Reference_R-M-F",2015,40.6075136701629
"7","Pcal","Brazil","St7_Reference_R-M-F",2015,47.3897180240539
"8","Pcal","Canada","St7_Reference_R-M-F",2015,53.8942748548789
"9","Pcal","Central America and Caribbean","St7_Reference_R-M-F",2015,55.2543480271058
"10","Pcal","Central Asia","St7_Reference_R-M-F",2015,18.2985944265616
"11","Pcal","China","St7_Reference_R-M-F",2015,85.5950032740772
"12","Pcal","Colombia","St7_Reference_R-M-F",2015,45.4982182132792
"13","Pcal","EU-12","St7_Reference_R-M-F",2015,56.8535803703347
"14","Pcal","EU-15","St7_Reference_R-M-F",2015,48.1876149455165
"15","Pcal","Europe_Eastern","St7_Reference_R-M-F",2015,50.2185430753407
"16","Pcal","Europe_Non_EU","St7_Reference_R-M-F",2015,27.8690637090225
"17","Pcal","European Free Trade Association","St7_Reference_R-M-F",2015,46.0629754286766
"18","Pcal","India","St7_Reference_R-M-F",2015,13.6322518660499
"19","Pcal","Indonesia","St7_Reference_R-M-F",2015,79.9556112999385
"20","Pcal","Japan","St7_Reference_R-M-F",2015,68.4508312634283
"21","Pcal","Mexico","St7_Reference_R-M-F",2015,63.1683160277531
"22","Pcal","Middle East","St7_Reference_R-M-F",2015,44.8249513112434
"23","Pcal","Pakistan","St7_Reference_R-M-F",2015,10.9482154539503
"24","Pcal","Russia","St7_Reference_R-M-F",2015,49.8357242680862
"25","Pcal","South Africa","St7_Reference_R-M-F",2015,50.5725940741765
"26","Pcal","South America_Northern","St7_Reference_R-M-F",2015,48.1937533514375
"27","Pcal","South America_Southern","St7_Reference_R-M-F",2015,56.2869629201025
"28","Pcal","South Asia","St7_Reference_R-M-F",2015,41.7905527393914
"29","Pcal","South Korea","St7_Reference_R-M-F",2015,76.4002562538372
"30","Pcal","Southeast Asia","St7_Reference_R-M-F",2015,85.7108444995956
"31","Pcal","Taiwan","St7_Reference_R-M-F",2015,83.1892452286174
"32","Pcal","USA","St7_Reference_R-M-F",2015,43.8764654753813
