"","Units","scenario","year","noR_share"
"1","Pcal","RvsM_Rreduced_0.45",2005,59.2169139729416
"2","Pcal","RvsM_Rreduced_0.45",2010,62.7098621818259
"3","Pcal","RvsM_Rreduced_0.45",2015,64.5851697144493
"4","Pcal","RvsM_Rreduced_0.45",2020,72.8199661188824
"5","Pcal","RvsM_Rreduced_0.45",2025,73.8679516102391
"6","Pcal","RvsM_Rreduced_0.45",2030,74.6766780366261
"7","Pcal","RvsM_Rreduced_0.45",2035,75.4640937776041
"8","Pcal","RvsM_Rreduced_0.45",2040,76.1997386632994
"9","Pcal","RvsM_Rreduced_0.45",2045,76.8681517358126
"10","Pcal","RvsM_Rreduced_0.45",2050,77.5179282911783
"11","Pcal","St7_Reference_R-M-F",2005,59.2169139729416
"12","Pcal","St7_Reference_R-M-F",2010,62.7098621818259
"13","Pcal","St7_Reference_R-M-F",2015,64.5851697144493
"14","Pcal","St7_Reference_R-M-F",2020,65.3125287087008
"15","Pcal","St7_Reference_R-M-F",2025,65.6811855929783
"16","Pcal","St7_Reference_R-M-F",2030,65.9736270058848
"17","Pcal","St7_Reference_R-M-F",2035,66.4089051278902
"18","Pcal","St7_Reference_R-M-F",2040,66.8862261536591
"19","Pcal","St7_Reference_R-M-F",2045,67.3810198176711
"20","Pcal","St7_Reference_R-M-F",2050,67.9374869204137
